regional,codigo_regional,distrito,distrito_id,uf,cidade,codigo_ibge,latitude,longitude,area_soja_ha
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,ES,BOA ESPERANÇA,3201001,-18.5395,-40.3025,0
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,ES,SANTA MARIA DE JETIBÁ,3204559,-20.0253,-40.7439,0
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,ES,VITÓRIA,3205309,-20.3155,-40.3128,
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,AGUANIL,3100807,-20.9439,-45.3915,800
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,ALFENAS,3101607,-21.4256,-45.9477,14000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,ALPINÓPOLIS,3101904,-20.8631,-46.3878,3200
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,ARCOS,3104205,-20.2863,-45.5373,3000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,BAMBUÍ,3105103,-20.0166,-45.9754,9600
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,BOA ESPERANÇA,3107109,-21.0927,-45.5612,7500
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,BOM DESPACHO,3107406,-19.7386,-45.2622,12500
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,BOM JESUS DA PENHA,3107604,-21.0148,-46.5174,3500
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CAMPANHA,3110905,-21.836,-45.4004,3000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CAMPESTRE,3111002,-21.7079,-46.2381,1000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CAMPO BELO,3111200,-20.8932,-45.2699,2000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CANDEIAS,3112000,-20.7692,-45.2765,3000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CARMO DA MATA,3114006,-20.5575,-44.8735,400
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CARMO DO RIO CLARO,3114402,-20.9736,-46.1149,6000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CÁSSIA,3115102,-20.5831,-46.9201,5200
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CONCEIÇÃO DA APARECIDA,3117108,-21.096,-46.2049,650
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,CRUZÍLIA,3120805,-21.84,-44.8067,1250
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,DELFINÓPOLIS,3121209,-20.3468,-46.8456,16000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,FORMIGA,3126109,-20.4618,-45.4268,18000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,GUARANÉSIA,3128303,-21.3009,-46.7964,350
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,IGUATAMA,3130309,-20.1776,-45.7111,8915
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,ILICÍNEA,3130507,-20.9402,-45.8308,150
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,ITUMIRIM,3134301,-21.3171,-44.8724,550
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,LAVRAS,3138203,-21.248,-45.0009,2000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,LUZ,3138807,-19.7911,-45.6794,4500
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,MACHADO,3139003,-21.6778,-45.9219,9000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,MADRE DE DEUS DE MINAS,3139102,-21.483,-44.3287,14000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,MINDURI,3141900,-21.6797,-44.6051,3000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,NEPOMUCENO,3144607,-21.2324,-45.235,590
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,PARAGUAÇU,3147204,-21.5465,-45.7374,5000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,PASSOS,3147907,-20.7193,-46.609,16500
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,PIUMHI,3151503,-20.4762,-45.9589,9000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,POUSO ALEGRE,3152501,-22.2266,-45.9389,80
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,POUSO ALTO,3152600,-22.1964,-44.9748,0
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,PRATÁPOLIS,3152907,-20.7411,-46.8624,4000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,SANTA RITA DE CALDAS,3159209,-22.0292,-46.3385,1300
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,SÃO GONÇALO DO SAPUCAÍ,3162005,-21.8932,-45.5893,3700
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,SÃO JOÃO BATISTA DO GLÓRIA,3162203,-20.635,-46.508,4900
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,SÃO JOÃO DEL REI,3162500,-21.1311,-44.2526,18000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,SÃO PEDRO DA UNIÃO,3163904,-21.131,-46.6123,2400
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,SÃO ROQUE DE MINAS,3164308,-20.249,-46.3639,5000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,SÃO SEBASTIÃO DO OESTE,3164605,-20.2758,-45.0063,0
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,SÃO VICENTE DE MINAS,3165305,-21.7042,-44.4431,6000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,TRÊS CORAÇÕES,3169307,-21.6921,-45.2511,20000
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,TRÊS PONTAS,3169406,-21.3694,-45.5109,1700
CENTRO SOJA,CESO,ALFENAS-SOJA,alfenas_soja,MG,VARGINHA,3170701,-21.5556,-45.4364,120
CENTRO SOJA,CESO,ASSIS-SOJA,assis_soja,SP,ADAMANTINA,3500105,-21.682,-51.0737,3000
CENTRO SOJA,CESO,ASSIS-SOJA,assis_soja,SP,ÁLVARES FLORENCE,3501202,-20.3203,-49.9141,1800
CENTRO SOJA,CESO,ASSIS-SOJA,assis_soja,SP,ANDRADINA,3502101,-20.8948,-51.3786,1500
CENTRO SOJA,CESO,ASSIS-SOJA,assis_soja,SP,ARAÇATUBA,3502804,-21.2076,-50.4401,7200
